DATE,TYPE,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Fri Oct 23 2020 18:01:43 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.000135,XTZ,onuuQGZc73udS2SSifDsbW1j5Pengtgdhh1rZnAo5sAv2JsZyj9,https://tzstats.com/operation/onuuQGZc73udS2SSifDsbW1j5Pengtgdhh1rZnAo5sAv2JsZyj9,,
Mon Oct 26 2020 14:35:59 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.000135,XTZ,ootSvgYs8Rwae7g9AdJHCbbh9bn89DspFDyoNADm2pkiZoeNPp3,https://tzstats.com/operation/ootSvgYs8Rwae7g9AdJHCbbh9bn89DspFDyoNADm2pkiZoeNPp3,,
Thu Oct 29 2020 16:00:14 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.000129,XTZ,op2stJ5bPMGa7eoiYPxvdHKVKDLvUfFNtsKyKkuWcedrkxt9G8H,https://tzstats.com/operation/op2stJ5bPMGa7eoiYPxvdHKVKDLvUfFNtsKyKkuWcedrkxt9G8H,,
Sun Nov 01 2020 10:23:52 GMT-0600 (Central Standard Time),deposit,,,,,,,0.000136,XTZ,ooGGg8DJeua5MCoKH7FDUb9NBdAaKLyS2H2HpaSwJ37JDStwVuv,https://tzstats.com/operation/ooGGg8DJeua5MCoKH7FDUb9NBdAaKLyS2H2HpaSwJ37JDStwVuv,,
Wed Nov 04 2020 10:27:52 GMT-0600 (Central Standard Time),deposit,,,,,,,0.000138,XTZ,opQeojAdpWSRuTxj2yCVMBqSdKcnG5XS9y7hAX3Yi9J1yJnMBTb,https://tzstats.com/operation/opQeojAdpWSRuTxj2yCVMBqSdKcnG5XS9y7hAX3Yi9J1yJnMBTb,,
Fri Nov 06 2020 00:07:44 GMT-0600 (Central Standard Time),withdrawal,0,ADA,-0.178233,ADA,11726f801852e227bcc7e5e637164c63e89a88d27bc74e18a25fa3907217c590,https://cardanoscan.io/transaction/11726f801852e227bcc7e5e637164c63e89a88d27bc74e18a25fa3907217c590,,,,,,
Fri Nov 06 2020 11:30:48 GMT-0600 (Central Standard Time),withdrawal,0,ADA,-0.197526,ADA,39050c91a6c016fee15837be47b53420b8237cf62db1a9bece3b73137407a494,https://cardanoscan.io/transaction/39050c91a6c016fee15837be47b53420b8237cf62db1a9bece3b73137407a494,,,,,,
Sat Nov 07 2020 12:10:45 GMT-0600 (Central Standard Time),deposit,,,,,,,0.000148,XTZ,opCagwCb3LkvmAGpfQk87PLcBXahTQYrahptq2pkY34nJ7z48Qp,https://tzstats.com/operation/opCagwCb3LkvmAGpfQk87PLcBXahTQYrahptq2pkY34nJ7z48Qp,,
Tue Nov 10 2020 11:12:08 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006508,XTZ,opGvbbZCFbBDub2yNvdEHqG3MW7VsDDCTEfSAdYy9AXzbDWyYvc,https://tzstats.com/operation/opGvbbZCFbBDub2yNvdEHqG3MW7VsDDCTEfSAdYy9AXzbDWyYvc,,
Thu Nov 12 2020 17:38:14 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006749,XTZ,onhcFShVRvAZAspDKMSQVwenodFTyTP1DnQc4sFa3dPQyQoju5h,https://tzstats.com/operation/onhcFShVRvAZAspDKMSQVwenodFTyTP1DnQc4sFa3dPQyQoju5h,,
Sun Nov 15 2020 16:53:10 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007274,XTZ,op4worc15XsPmzs6nrUMER9NYZdqQywATxpB2rsfN8dYWNXG8iN,https://tzstats.com/operation/op4worc15XsPmzs6nrUMER9NYZdqQywATxpB2rsfN8dYWNXG8iN,,
Wed Nov 18 2020 14:41:19 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007581,XTZ,oo47A6Nb74xCxSpMfH7QdoFxFJaUvCJL55QvH76HvV6DpXwP5iU,https://tzstats.com/operation/oo47A6Nb74xCxSpMfH7QdoFxFJaUvCJL55QvH76HvV6DpXwP5iU,,
Sat Nov 21 2020 07:00:48 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006593,XTZ,oopECTHcZqBHJR8niZc5jp5tdWnpvWsJJonia56Lt7uFJDcsLSt,https://tzstats.com/operation/oopECTHcZqBHJR8niZc5jp5tdWnpvWsJJonia56Lt7uFJDcsLSt,,
Mon Nov 23 2020 13:45:37 GMT-0600 (Central Standard Time),deposit,,,,,,,0.39196122253834814,ETH,0x699dd9dbff51d0f6cd29d23643926b2528b5619c5c2fbaeb856b254baef8f0d7,https://etherscan.io/tx/0x699dd9dbff51d0f6cd29d23643926b2528b5619c5c2fbaeb856b254baef8f0d7,,
Mon Nov 23 2020 13:46:24 GMT-0600 (Central Standard Time),withdrawal,-13.87196941,DAI,-0.0153693,ETH,0x0c9852850f217da703f63f3b576d9a129499c84cced43e12f665ec5e4522d313,https://etherscan.io/tx/0x0c9852850f217da703f63f3b576d9a129499c84cced43e12f665ec5e4522d313,,,,,,
Mon Nov 23 2020 13:46:24 GMT-0600 (Central Standard Time),deposit,,,,,,,667.37674634,CDAI,0x0c9852850f217da703f63f3b576d9a129499c84cced43e12f665ec5e4522d313,https://etherscan.io/tx/0x0c9852850f217da703f63f3b576d9a129499c84cced43e12f665ec5e4522d313,,
Mon Nov 23 2020 13:49:51 GMT-0600 (Central Standard Time),exchange,-0.05284314,ETH,-0.001575,ETH,0x9d6eaba6bf433ba8224a5a5685986b3d2f0c1ead401cdf240aa8bd5ce281ebe2,https://etherscan.io/tx/0x9d6eaba6bf433ba8224a5a5685986b3d2f0c1ead401cdf240aa8bd5ce281ebe2,87.99212,ALGO,T2JV25ROTRDP2JLEQOZSVHKGUSOOVB7O42FSXWMRL4OF46A7OB5Q,https://algoexplorer.io/tx/T2JV25ROTRDP2JLEQOZSVHKGUSOOVB7O42FSXWMRL4OF46A7OB5Q,cca2d298-a893-308c-ae17-b8cc652e91cf,
Mon Nov 23 2020 13:50:47 GMT-0600 (Central Standard Time),exchange,-0.05284314,ETH,-0.00144375,ETH,0x3e2a1d5fe4f5c2d51687aabbd660852e0902ac276743f02f85f72204c5105e80,https://etherscan.io/tx/0x3e2a1d5fe4f5c2d51687aabbd660852e0902ac276743f02f85f72204c5105e80,5.091592,ATOM,D3AB00002FD0110B5B859E19D9D72997E0AD596FA6ED8C74CC416E07452D9F84,https://www.mintscan.io/txs/D3AB00002FD0110B5B859E19D9D72997E0AD596FA6ED8C74CC416E07452D9F84,8cce23cd-cf15-3627-934f-4c7b7ddf71e7,
Mon Nov 23 2020 13:51:20 GMT-0600 (Central Standard Time),exchange,-0.05284314,ETH,-0.001348093419561,ETH,0x9f065516477961fa047398b29a8f4184a568cb1a68bbc69895cf513a184e2439,https://etherscan.io/tx/0x9f065516477961fa047398b29a8f4184a568cb1a68bbc69895cf513a184e2439,87.93822,ALGO,T2JV25ROTRDP2JLEQOZSVHKGUSOOVB7O42FSXWMRL4OF46A7OB5Q,https://algoexplorer.io/tx/T2JV25ROTRDP2JLEQOZSVHKGUSOOVB7O42FSXWMRL4OF46A7OB5Q,b1153171-5f4b-3bac-8c0f-2b4a4a700f72,
Mon Nov 23 2020 14:00:37 GMT-0600 (Central Standard Time),withdrawal,0,ATOM,-0.003134,ATOM,0FEE95B5406F54180C890EB1690E4C4AA1261F937DC004FEB006550604B5AD64,https://www.mintscan.io/txs/0FEE95B5406F54180C890EB1690E4C4AA1261F937DC004FEB006550604B5AD64,,,,,,
Tue Nov 24 2020 10:54:06 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006432,XTZ,oo82gJVvagSQZfLHFxNi8iwMyS3vrY8UCmdVuYH3X7XRmMoZyAN,https://tzstats.com/operation/oo82gJVvagSQZfLHFxNi8iwMyS3vrY8UCmdVuYH3X7XRmMoZyAN,,
Fri Nov 27 2020 12:21:14 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007429,XTZ,oow4tbV8x66jPDwxFJX2wCFhNZhfH7ZaKaWcH828XgWcFBy7EpN,https://tzstats.com/operation/oow4tbV8x66jPDwxFJX2wCFhNZhfH7ZaKaWcH828XgWcFBy7EpN,,
Mon Nov 30 2020 05:59:32 GMT-0600 (Central Standard Time),deposit,,,,,,,0.00677,XTZ,ooj6b1VeBQLX56cbzgJaQk4NXjQXJJztcjtiz4SVSwtL5svM2ed,https://tzstats.com/operation/ooj6b1VeBQLX56cbzgJaQk4NXjQXJJztcjtiz4SVSwtL5svM2ed,,
Mon Nov 30 2020 10:55:17 GMT-0600 (Central Standard Time),exchange,-0.05225535,ETH,-0.00322875,ETH,0xe52a4d652323593d92bb6f2d708f2c67d073e72af66ec4bdecc3ac21fb18fcc6,https://etherscan.io/tx/0xe52a4d652323593d92bb6f2d708f2c67d073e72af66ec4bdecc3ac21fb18fcc6,52,ONT,7ec3ea90e945c8c6d29b188894ef6a88d9e445def37a41e03baaf3db08c69a85,https://explorer.ont.io/transaction/7ec3ea90e945c8c6d29b188894ef6a88d9e445def37a41e03baaf3db08c69a85,a2325bb7-eefc-3508-b5d8-c8fc33d6f4d8,
Wed Dec 02 2020 11:42:13 GMT-0600 (Central Standard Time),withdrawal,0,ADA,-0.192604,ADA,eab51adba585a11597e0b52adf182323abf6cbd2b4b70dc39558a913d6965863,https://cardanoscan.io/transaction/eab51adba585a11597e0b52adf182323abf6cbd2b4b70dc39558a913d6965863,,,,,,
Wed Dec 02 2020 19:22:46 GMT-0600 (Central Standard Time),deposit,,,,,,,0.00663,XTZ,oomVdLYtp65hxoCfCY2FNM6WzGGH3o6YPLDdza541rVFd81kmnE,https://tzstats.com/operation/oomVdLYtp65hxoCfCY2FNM6WzGGH3o6YPLDdza541rVFd81kmnE,,
Sun Dec 06 2020 09:55:22 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006589,XTZ,ooY5FLjnJECXX6BnWnecahWefgYJYvMqNDQpv2h7RCqGM2ZNr3e,https://tzstats.com/operation/ooY5FLjnJECXX6BnWnecahWefgYJYvMqNDQpv2h7RCqGM2ZNr3e,,
Tue Dec 08 2020 14:05:28 GMT-0600 (Central Standard Time),deposit,,,,,,,0.005666,XTZ,oozU6fnctuNPu34MXTGqsRzKVFt8xz4Z8MTQWoeNe5kBq4ggjNs,https://tzstats.com/operation/oozU6fnctuNPu34MXTGqsRzKVFt8xz4Z8MTQWoeNe5kBq4ggjNs,,
Fri Dec 11 2020 10:07:35 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007845,XTZ,ooeUh2EgfYTr2EmBJjy4ZEtzGm7RqK8syAqAYqXFSGH7PvLDQdt,https://tzstats.com/operation/ooeUh2EgfYTr2EmBJjy4ZEtzGm7RqK8syAqAYqXFSGH7PvLDQdt,,
Mon Dec 14 2020 07:37:19 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006454,XTZ,ooaEACU8SD9jnoLfuP9BYkBFjHMkZVUraoq6ByGUH57T5q6NEL3,https://tzstats.com/operation/ooaEACU8SD9jnoLfuP9BYkBFjHMkZVUraoq6ByGUH57T5q6NEL3,,
Thu Dec 17 2020 08:06:05 GMT-0600 (Central Standard Time),deposit,,,,,,,0.00668,XTZ,ooAv1qWNiMPBpJ3cuhu4izMKBaiMqSYZLrnpoDoUDSGYq6AEyT7,https://tzstats.com/operation/ooAv1qWNiMPBpJ3cuhu4izMKBaiMqSYZLrnpoDoUDSGYq6AEyT7,,
Sun Dec 20 2020 07:20:09 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007517,XTZ,ooFjCsoezNbBYvLEdxWpN6f8oBgufAZNgj8yGK3rUbF3ax7RDJB,https://tzstats.com/operation/ooFjCsoezNbBYvLEdxWpN6f8oBgufAZNgj8yGK3rUbF3ax7RDJB,,
Wed Dec 23 2020 07:39:57 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007126,XTZ,ooDMQe49NucRnEydWWVmmQW25B1L2p4yujLESP45zhLwLqHGYoL,https://tzstats.com/operation/ooDMQe49NucRnEydWWVmmQW25B1L2p4yujLESP45zhLwLqHGYoL,,
Fri Dec 25 2020 17:45:48 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007664,XTZ,ooZYQquNBSUXdQfGZcxBR5BkASC2YkxZYAXdFaCmHPApbZeNjvE,https://tzstats.com/operation/ooZYQquNBSUXdQfGZcxBR5BkASC2YkxZYAXdFaCmHPApbZeNjvE,,
Mon Dec 28 2020 14:43:24 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006807,XTZ,onxWge1QUuNXpPDHykqLALXjgs34hV5iAL7vGn5bQN55xYfKbj3,https://tzstats.com/operation/onxWge1QUuNXpPDHykqLALXjgs34hV5iAL7vGn5bQN55xYfKbj3,,
Fri Jan 01 2021 11:08:10 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007159,XTZ,opPdLR53y1bC94mWFU8zQVJ62z3VMQgdzVEtpw16GDM1ZdmrWVB,https://tzstats.com/operation/opPdLR53y1bC94mWFU8zQVJ62z3VMQgdzVEtpw16GDM1ZdmrWVB,,
Sun Jan 03 2021 11:34:11 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006572,XTZ,oo1XYGdi3KhGJtWVVSku3wAWCqdSdxCSMnBMkz2xkRU7prSL57e,https://tzstats.com/operation/oo1XYGdi3KhGJtWVVSku3wAWCqdSdxCSMnBMkz2xkRU7prSL57e,,
Wed Jan 06 2021 12:30:49 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006739,XTZ,ooKgQhiPyKnHzJN4mcRdnh8qGyMVF73YpNoN99sfbkzXdew4vWA,https://tzstats.com/operation/ooKgQhiPyKnHzJN4mcRdnh8qGyMVF73YpNoN99sfbkzXdew4vWA,,
Sat Jan 09 2021 11:02:23 GMT-0600 (Central Standard Time),deposit,,,,,,,0.005887,XTZ,opMU9P215XWAa5vEzUpLcu6zkNMXLRwAYq8TrxBzSQAYXRzL8iC,https://tzstats.com/operation/opMU9P215XWAa5vEzUpLcu6zkNMXLRwAYq8TrxBzSQAYXRzL8iC,,
Tue Jan 12 2021 11:08:01 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006681,XTZ,opHMcNyXeQTqahE15bJ8mK5DwstJ2UvwcDSmQfLkejBJrFChKRc,https://tzstats.com/operation/opHMcNyXeQTqahE15bJ8mK5DwstJ2UvwcDSmQfLkejBJrFChKRc,,
Fri Jan 15 2021 12:52:11 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006733,XTZ,ooXZ7X7E23M52hU3wAHBJ3KFZ6tqxYfMu7JNKDA2DhB6v4zZ7vv,https://tzstats.com/operation/ooXZ7X7E23M52hU3wAHBJ3KFZ6tqxYfMu7JNKDA2DhB6v4zZ7vv,,
Sun Jan 17 2021 13:04:44 GMT-0600 (Central Standard Time),withdrawal,-0.60817305,BTC,-0.00054444,BTC,10daf1b374a38711c047188a6e1f8b3d173991bc1e0d1277626e66b6c4daff96,https://blockchair.com/bitcoin/transaction/10daf1b374a38711c047188a6e1f8b3d173991bc1e0d1277626e66b6c4daff96,,,,,,
Mon Jan 18 2021 21:30:58 GMT-0600 (Central Standard Time),deposit,,,,,,,0.00659,XTZ,op7n3fPz45gNnwanxoR1qzUYj1kd9NLRj5cQ6sT2mFg4DMg8kDn,https://tzstats.com/operation/op7n3fPz45gNnwanxoR1qzUYj1kd9NLRj5cQ6sT2mFg4DMg8kDn,,
Tue Jan 19 2021 20:19:31 GMT-0600 (Central Standard Time),withdrawal,0,ALGO,-0.001,ALGO,IQHVWZPJRTQRMB2SNFBRCDADX4D5KZUPBZBHBGQFLRTH7SNQLP7Q,https://algoexplorer.io/tx/IQHVWZPJRTQRMB2SNFBRCDADX4D5KZUPBZBHBGQFLRTH7SNQLP7Q,,,,,,
Thu Jan 21 2021 11:27:23 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006138,XTZ,onhmEbGsuiGn2GT61SwzZK3ri5XJkKm8EQtWtgPshk3Db12MSTx,https://tzstats.com/operation/onhmEbGsuiGn2GT61SwzZK3ri5XJkKm8EQtWtgPshk3Db12MSTx,,
Fri Jan 22 2021 17:15:24 GMT-0600 (Central Standard Time),withdrawal,0,ADA,-0.192604,ADA,83311d01f998f3e640c57edb5a9a671baa7544bb22a9c5360ffb9ac336461a40,https://cardanoscan.io/transaction/83311d01f998f3e640c57edb5a9a671baa7544bb22a9c5360ffb9ac336461a40,,,,,,
Sun Jan 24 2021 13:56:53 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007235,XTZ,ooHgqvH3XiNWTvsT8ny9AqH5Z9xqhHd5h64BxZ56UyUHWtYQeUy,https://tzstats.com/operation/ooHgqvH3XiNWTvsT8ny9AqH5Z9xqhHd5h64BxZ56UyUHWtYQeUy,,
Wed Jan 27 2021 08:08:35 GMT-0600 (Central Standard Time),deposit,,,,,,,0.006531,XTZ,oormkVofFzrW9VUAZeFk26GNb4L61LCm7P6skw5JJRFHvwPG3Hh,https://tzstats.com/operation/oormkVofFzrW9VUAZeFk26GNb4L61LCm7P6skw5JJRFHvwPG3Hh,,
Sat Jan 30 2021 03:36:49 GMT-0600 (Central Standard Time),deposit,,,,,,,0.007171,XTZ,opFvujCS3y3oBJekgfYDdR96c5ZttsAU5XjjNLVHCDHmtF7vBBc,https://tzstats.com/operation/opFvujCS3y3oBJekgfYDdR96c5ZttsAU5XjjNLVHCDHmtF7vBBc,,
Tue Feb 02 2021 02:58:36 GMT-0600 (Central Standard Time),deposit,,,,,,,0.0069,XTZ,oo5vdDZQKCLg9Bqpwr9VmkyjAEbpXkGkN9KbMCmbS2XmhrRnzzu,https://tzstats.com/operation/oo5vdDZQKCLg9Bqpwr9VmkyjAEbpXkGkN9KbMCmbS2XmhrRnzzu,,
