DATE,TYPE,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Tue Mar 06 2018 23:40:11 GMT-0600 (Central Standard Time),deposit,,,,,,,0.01507816,BTC,e4e8a85e7d153db6f6a0690b335b706bb607c229d22c810ecdd8d7e2458af93e,https://blockchair.com/bitcoin/transaction/e4e8a85e7d153db6f6a0690b335b706bb607c229d22c810ecdd8d7e2458af93e,,
Tue Mar 06 2018 23:40:19 GMT-0600 (Central Standard Time),deposit,,,,,,,0.01154218,DASH,76de4220fb95020ddb90cc3dab163765d0a192b20f3c729499550b248b2a7782,https://blockchair.com/dash/transaction/76de4220fb95020ddb90cc3dab163765d0a192b20f3c729499550b248b2a7782,,
Tue Mar 06 2018 23:40:24 GMT-0600 (Central Standard Time),deposit,,,,,,,0.08496734,LTC,81362990e5baee5d772a00575bf465a9455c8a5e44e7d9c53c866daadf33e3bc,https://blockchair.com/litecoin/transaction/81362990e5baee5d772a00575bf465a9455c8a5e44e7d9c53c866daadf33e3bc,,
Tue Apr 10 2018 08:57:31 GMT-0500 (Central Daylight Time),withdrawal,-1,ETH,-0.000084,ETH,0xfda399053b57a675fa5c3e565cccccff674d7f1917753e57eb0c98e729559914,https://etherscan.io/tx/0xfda399053b57a675fa5c3e565cccccff674d7f1917753e57eb0c98e729559914,,,,,,
Tue Apr 10 2018 08:57:48 GMT-0500 (Central Daylight Time),withdrawal,-5,LTC,-0.003553,LTC,c68700e77ec1b5337aa2b764bdb6eff268ee26ebd19ca17f040fb7916cd77b9e,https://blockchair.com/litecoin/transaction/c68700e77ec1b5337aa2b764bdb6eff268ee26ebd19ca17f040fb7916cd77b9e,,,,,,
Sat May 05 2018 11:25:13 GMT-0500 (Central Daylight Time),deposit,,,,,,,71,TRX,0x1b4452384035e83940658603738840ee8b3abf9a7239ac60e9a10e771ec7534f,https://etherscan.io/tx/0x1b4452384035e83940658603738840ee8b3abf9a7239ac60e9a10e771ec7534f,,
Fri Jun 01 2018 00:26:10 GMT-0500 (Central Daylight Time),withdrawal,0,ETH,-0.00181116,ETH,0xbef0e65581f5c9462029218e12373fb576e63f7a7fed39c6e10ee5de85a2eef6,https://etherscan.io/tx/0xbef0e65581f5c9462029218e12373fb576e63f7a7fed39c6e10ee5de85a2eef6,,,,,,
Fri Jun 01 2018 08:46:29 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.0552,BTC,c9a6c2089e0d1ecc68dd76873271de14afd0358815371fa99540d04b31008fd2,https://blockchair.com/bitcoin/transaction/c9a6c2089e0d1ecc68dd76873271de14afd0358815371fa99540d04b31008fd2,,
Fri Jun 01 2018 08:46:29 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.2,LTC,a62ab39b5164e5bff036e91fa5d4351db7589a8783874d865d2b608d444aa11c,https://blockchair.com/litecoin/transaction/a62ab39b5164e5bff036e91fa5d4351db7589a8783874d865d2b608d444aa11c,,
Fri Jun 01 2018 08:46:29 GMT-0500 (Central Daylight Time),deposit,,,,,,,0.0718,LTC,cc5d24b3b5104696f1bf35906fa1c9abab296a36741edc971843d70ee0c934c3,https://blockchair.com/litecoin/transaction/cc5d24b3b5104696f1bf35906fa1c9abab296a36741edc971843d70ee0c934c3,,
Sat Sep 01 2018 16:03:25 GMT-0500 (Central Daylight Time),withdrawal,-0.08335058,BTC,-0.0000522,BTC,bcb862714f1b805d9be2151e990b40559d27c52c88ba945f00bd1aae556859f1,https://blockchair.com/bitcoin/transaction/bcb862714f1b805d9be2151e990b40559d27c52c88ba945f00bd1aae556859f1,,,,,,
Sat Sep 01 2018 16:03:29 GMT-0500 (Central Daylight Time),withdrawal,-2,ETH,-0.0000945,ETH,0x8ea0f45e6a11d1a3290d2508b538bf84f82060bec3c1b9a61e09dcddca34ee24,https://etherscan.io/tx/0x8ea0f45e6a11d1a3290d2508b538bf84f82060bec3c1b9a61e09dcddca34ee24,,,,,,
Wed Jan 09 2019 09:44:28 GMT-0600 (Central Standard Time),withdrawal,-5,LTC,-0.000672,LTC,1e8a33e2d6b82ca35f79d46162c91b9a1811dfbb9ccbce2f4170d0564c373ed3,https://blockchair.com/litecoin/transaction/1e8a33e2d6b82ca35f79d46162c91b9a1811dfbb9ccbce2f4170d0564c373ed3,,,,,,
Tue Jun 25 2019 19:54:31 GMT-0500 (Central Daylight Time),exchange,-0.18795947,ETH,-0.000126,ETH,0x4413891771a0de8f6755b17a85dc2cf83826d1d6208f9416d059ce8db8332dbe,https://etherscan.io/tx/0x4413891771a0de8f6755b17a85dc2cf83826d1d6208f9416d059ce8db8332dbe,58.685584,USDC,0xe290740a292cff1f2d09e4799c0d9dc54c5d9b0a7e0406a3b6992e45bb1d381d,https://etherscan.io/tx/0xe290740a292cff1f2d09e4799c0d9dc54c5d9b0a7e0406a3b6992e45bb1d381d,ut1ajo8xg40h9op5,
Tue Jan 14 2020 10:17:22 GMT-0600 (Central Standard Time),exchange,-58.685584,USDC,-0.000336156,ETH,0x65a40ad9b93fad872242eea952100b0a52fc7b2f4670002639f13c7776aae5b0,https://etherscan.io/tx/0x65a40ad9b93fad872242eea952100b0a52fc7b2f4670002639f13c7776aae5b0,6.87210418,BTG,34dee98beae8d8a493a20a529ee445d58d456f47b7546b0e1978284bc3b4238a,https://explorer.bitcoingold.org/insight/tx/34dee98beae8d8a493a20a529ee445d58d456f47b7546b0e1978284bc3b4238a,cbda7f33-8c91-32a9-b70f-ae3d0a30f16b,
